Class,zID,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Distance_m,Angle,Eye_height_m,Tree_height_m,Tree_type,Notes
Monday PM,z5335577,Cohuna,-33.89244,151.23697,1398,445,15,63,1.8,29.4,Eucalyptus grandis,
Monday PM,z5335577,Orford,-33.89275,151.23721,1100,350,15,53,1.8,19.9,Eucalyptus grandis,
Tuesday AM,z5483851,Derby,-33.89301,151.23673,12,3.8,5.3,27,1.7,2.7,Unsure,
Tuesday AM,z5483851,Nimmitabel,-33.89284,151.23644,12,3.8,21.7,53,1.7,28.8,Eucalyptus grandis,
Tuesday AM,z5480645,Junee,-33.89228,151.23845,553,176,20.7,48,1.7,24.7,Eucalyptus grandis,
Monday AM,z5478850,Junee,-33.89215,151.2384,535,170.3,18,55,1.8,27.5,Eucalyptus grandis,
Monday AM,z5477700,Cohuna,-33.8924,151.2368,450,143.2,1.5,65,1.6,4.8,Eucalyptus grandis,
Monday AM,z5481059,Cohuna,-33.89249,151.2371,450,143.2,12,67,1.9,28.3,Eucalyptus grandis,
Monday AM,z5481585,Frankston,-33.8929,151.2365,450,143.2,14.6,65,1.6,32.9,Eucalyptus grandis,
Tuesday AM,z5478798,Byrock,-33.89271,151.23629,446,142,13,63,1.6,27.1,Eucalyptus grandis,
Monday PM,z5495074,Cohuna,-33.89229,151.237,445,141.6,30.5,64,1.62,64.2,Eucalyptus grandis,
Tuesday AM,z5366669,Cohuna,-33.89249,151.2371,435,138.5,11,70,1.7,31.9,Eucalyptus grandis,
Monday AM,z5411018,Miles,-33.89268,151.23708,410,130.5,22.8,58,1.6,38.1,Eucalyptus grandis,
Monday PM,z5335577,Berri,-33.89249,151.23701,405,129,15,51,1.8,18.5,Eucalyptus grandis,
Monday AM,z5488640,Dunkeld,-33.89266,151.23718,390,124.1,19.4,59,1.8,34,Eucalyptus grandis,
Monday AM,z5477890,Bargo,-33.89275,151.23662,380,121,15,63,1.8,31.2,Eucalyptus grandis,
Tuesday AM,z5316369,Dunkeld,-33.89257,151.23706,380,121,21.4,55,1.4,32,Eucalyptus grandis,
Tuesday AM,z5481196,Dunkeld,-33.8926,151.23703,379,120.6,17.3,64,1.6,37.1,Eucalyptus grandis,
Monday PM,z5317946,Penrith,-33.8927,151.23712,371,118,15,58,1.72,25.7,Eucalyptus grandis,
Monday AM,z5310673,Dunkeld,-33.89257,151.23699,370,117.8,16.1,70,1.7,46,Eucalyptus grandis,
Monday AM,z5465916,Dunkeld,-33.89262,151.23704,370,117.8,16.5,70,1.68,13.2,Eucalyptus grandis,
Monday AM,z5481098,Barellan,-33.89266,151.23631,370,117.8,17.7,54,1.61,26,Eucalyptus grandis,
Monday PM,z5478301,Kurnell,-33.89249,151.23653,368,117.1,21.2,60,2,38.7,Eucalyptus grandis,
Monday PM,z5388083,Dunkeld,-33.89267,151.23704,367,116.8,20,65,1.5,44.5,Eucalyptus grandis,
Monday PM,z5407744,Bargo,-33.89282,151.23687,365,116.2,22,75,1.6,83.7,Eucalyptus grandis,
Monday AM,z5421955,Bargo,-33.89278,151.23684,363,115.5,21.7,65,1.8,48.3,Eucalyptus grandis,
Monday AM,z5388060,Bargo,-33.8927,151.23685,360,114.6,15,70,1.7,42.9,Eucalyptus grandis,
Monday AM,z5395921,Bemboka,-33.8927,151.23646,360,114.6,19.1,68,1.7,32,Eucalyptus grandis,
Monday AM,z5395921,Gundy,-33.89276,151.23646,360,114.6,19.1,68,1.7,13,Eucalyptus grandis,
Tuesday AM,z5208077,Orford,-33.89285,151.23713,360,114.6,4.6,80,1.6,27.7,Eucalyptus grandis,
Monday PM,z5525561,Orford,-33.89278,151.23722,358,114,18,62,1.59,35.4,Eucalyptus grandis,
Monday AM,z5481111,Orford,-33.8928,151.23714,353,112.4,16.3,78,1.7,78.3,Eucalyptus grandis,
Monday PM,z5482279,Orford,-33.89288,151.23711,351,111.7,13.8,73,1.65,46.8,Eucalyptus grandis,
Monday PM,z5359247,Orford,-33.89285,151.23713,350,111.4,22.2,64,1.6,27.8,Eucalyptus grandis,2 giant branches and not circular / perfect circle trunk
Tuesday AM,z5477135,Orford,-33.89289,151.23715,350,111.4,15.8,60,1.6,28.9,Eucalyptus grandis,
Monday AM,z5418643,Dunkeld,-33.89267,151.23703,346,110.1,24.1,58,1.9,40.4,Eucalyptus grandis,
Monday PM,z5481224,Bargo,-33.89266,151.23675,340,108.2,20.5,74,1.7,73.2,Eucalyptus grandis,
Tuesday AM,z5191066,Bemboka,-33.89274,151.23643,330,105,16,66,1.7,37.6,Eucalyptus grandis,
Monday AM,z5481098,Bemboka,-33.89271,151.2365,324,103.1,17.5,59,1.61,30.7,Eucalyptus grandis,
Monday AM,z5516576,Elliston,-33.89232,151.2388,315,100.3,14,75,1.8,52.3,Eucalyptus grandis,
Monday PM,z5317946,Clare,-33.89227,151.23717,308,98,15,43,1.72,15.7,Eucalyptus grandis,
Monday PM,z5317946,Leeman,-33.89261,151.23699,305,97,15,49,1.72,19,Eucalyptus grandis,
Monday PM,z5506652,Seaspray,-33.89264,151.23673,295,93.9,13.9,69,1.8,37.9,Eucalyptus grandis,
Monday AM,z5488079,Thargomindah,-33.89217,151.23855,290,92.3,27.8,61,1.6,52.8,Eucalyptus grandis,
Monday PM,z5362560,Gundy,-33.89279,151.23652,290,92.3,22,65,1.5,48.7,Eucalyptus grandis,
Monday PM,z5362560,Nimmitabel,-33.89281,151.23645,290,92.3,20,63,1.5,40.8,Eucalyptus grandis,
Monday PM,z5478299,Nimmitabel,-33.89281,151.23646,288,91.7,15.3,60,2,28.5,Eucalyptus grandis,
Tuesday AM,z5420560,Nimmitabel,-33.89278,151.23649,288,91.7,14.8,53,1.6,21.2,Eucalyptus grandis,
Monday AM,z5481098,Nimmitabel,-33.89278,151.23644,286,91,20.6,57,1.61,33.3,Eucalyptus grandis,
Monday PM,z5335577,Harrington,-33.8927,151.23736,283,90,15,44,1.8,14.5,Eucalyptus grandis,
Monday AM,z5465916,Malanda,-33.89249,151.23735,270,85.9,12.3,60,1.68,9.1,Eucalyptus grandis,
Monday AM,z5416626,Batlow,-33.89268,151.23664,263,83.7,19,76,1.55,77.8,Eucalyptus grandis,
Monday AM,z5479964,Berwick,-33.89258,151.23695,260,82.8,22,58,1.7,36.9,Eucalyptus grandis,
Monday AM,z5519336,Toora,-33.89255,151.23657,260,82.8,11,83,1.8,91.4,Eucalyptus grandis,
Monday PM,z5445237,Batlow,-33.89265,151.23663,260,82.8,20.4,75,1.6,77.7,Eucalyptus grandis,
Monday PM,z5335577,Greta,-33.89264,151.23727,258,82,15,40,1.8,12.6,Eucalyptus grandis,
Monday AM,z5516534,Duaringa,-33.89252,151.23679,257,81.8,17.8,60,1.7,32.5,Eucalyptus grandis,
Tuesday AM,z5412813,Duaringa,-33.89266,151.23683,256,81.5,7.3,65,1.7,17.4,Eucalyptus grandis,
Monday PM,z5506652,Wynyard,-33.89311,151.23706,255,81.2,14.3,55,1.8,22.2,Eucalyptus grandis,
Monday AM,z5481098,Wollombi,-33.89271,151.23634,254,80.9,20.4,51,1.61,26.8,Eucalyptus grandis,
Monday AM,z5388060,Toora,-33.8926,151.23663,252,80.2,18.2,70,1.7,51.7,Eucalyptus grandis,
Monday AM,z5476203,Collie,-33.89248,151.23689,251,79.9,31.9,60,1.5,56.8,Eucalyptus grandis,
Monday AM,z5429073,Hinton,-33.89251,151.23728,250,79.6,17.7,65,1.72,25.9,Multi-stem,
Monday PM,z5317946,Millthorpe,-33.89282,151.23691,245,78,15,43,1.72,15.7,Eucalyptus grandis,
Monday AM,z5411018,Millthorpe,-33.89268,151.23708,240,76.4,17.6,60,1.6,32.1,Eucalyptus grandis,
Tuesday AM,z5481196,Collie,-33.89261,151.23681,240,76.4,9.6,66,1.6,23.2,Eucalyptus grandis,
Monday AM,z5516134,Adelong,-33.89295,151.23669,237,75.4,17.3,63,1.7,35.7,Eucalyptus grandis,
Monday AM,z5487573,Guyra,-33.89269,151.23685,234,74.5,12.9,75,1.9,49.8,Eucalyptus grandis,
Monday AM,z5488581,Guyra,-33.89267,151.23682,230,73.2,11.3,75,1.6,42.2,Eucalyptus grandis,
Monday AM,z5516576,Rosebud,-33.89221,151.23881,230,73.2,12,77,1.8,52,Eucalyptus grandis,
Tuesday AM,z5481205,Guyra,-33.89277,151.23683,230,73.2,13.1,70,1.5,37.5,Eucalyptus grandis,
Monday AM,z5477890,Hinton,-33.89252,151.23731,229,72.9,9,70,1.8,26.5,Multi-stem,
Monday PM,z5445237,Kulin,-33.89267,151.23677,226,71.9,13.5,80,1.6,78.2,Eucalyptus grandis,
Monday AM,z5517734,Sarina,-33.89275,151.23687,222,70.7,12.4,53,1.7,18.2,Eucalyptus grandis,
Monday PM,z5481224,Kulin,-33.89253,151.23652,220,70,17,72,1.7,53.9,Eucalyptus grandis,
Monday PM,z5476391,Hinton,-33.89247,151.23748,219,69.7,4,83,1.8,33.9,Multi-stem,Multiple Bases 
Monday PM,z5495074,Hinton,-33.89249,151.23719,216,68.8,19,64,1.62,40.6,Multi-stem,
Monday AM,z5502976,Bothwell,-33.89258,151.23729,214,68.1,18.9,65,1.72,40.4,Eucalyptus grandis,
Tuesday AM,z5316369,Herberton,-33.89263,151.23707,212,67.5,17.8,71,1.4,53.1,Eucalyptus grandis,
Monday AM,z5481111,Hinton,-33.89251,151.23741,211,67.2,14.8,67,1.7,36.5,Multi-stem,
Monday AM,z5416626,Herberton,-33.89261,151.23709,210,66.8,18,64,1.55,38.5,Eucalyptus grandis,
Monday AM,z5482324,Duaringa,-33.89261,151.23677,209,66.5,13,80,1.8,75.5,Eucalyptus grandis,
Monday AM,z5421955,Gordonvale,-33.89263,151.23668,208,66.2,14,68,1.9,36.5,Eucalyptus grandis,
Monday AM,z5487573,Guildford,-33.8927,151.23727,203,64.6,19.1,60,1.9,34.9,Eucalyptus grandis,
Monday AM,z5395921,Borden,-33.89262,151.23676,202,64.3,11.2,75,1.7,16,Eucalyptus grandis,
Monday PM,z5362560,Guyra,-33.89275,151.23681,200,63.7,18.4,70,1.6,52.1,Eucalyptus grandis,
Tuesday AM,z5488725,Keith,-33.89258,151.23717,195,62.1,10.5,71,1.6,32.1,Eucalyptus grandis,
Monday AM,z5294922,Seymour,-33.89282,151.23712,193,61.4,18.2,67,1.8,44.6,Eucalyptus grandis,
Monday AM,z5310673,Bothwell,-33.89265,151.23728,189,60.2,17.1,60,1.7,31.4,Eucalyptus grandis,
Tuesday AM,z5477135,Bothwell,-33.89262,151.23721,189,60.2,12.6,70,1.6,36,Eucalyptus grandis,
Monday AM,z5397879,Bothwell,-33.89256,151.2374,187,59.5,17.1,70,1.63,48.6,Eucalyptus grandis,
Tuesday AM,z5374371,Keith,-33.89258,151.23712,187,59.5,20,63,1.77,41,Eucalyptus grandis,
Monday AM,z5418643,Herberton,-33.89263,151.23706,186,59.2,27,50,1.9,34.1,Eucalyptus grandis,
Monday AM,z5488581,Howlong,-33.89269,151.2368,184,58.6,9.3,69,1.6,24.2,Eucalyptus grandis,
Tuesday AM,z5470581,Berrima,-33.89242,151.23749,183,58.3,16.8,56,1.4,26.3,Eucalyptus grandis,
Tuesday AM,z5479673,Aberdeen,-33.8924,151.23756,183,58.3,26.5,45,1.75,28.3,Eucalyptus grandis,
Tuesday AM,z5374371,Aberdeen,-33.89254,151.23716,182,57.9,14.3,68,1.77,37.2,Eucalyptus grandis,
Tuesday AM,z5487637,Bothwell,-33.89256,151.2374,182,57.9,3.6,83,1.6,30.9,Eucalyptus grandis,
Monday AM,z5477890,Bothwell,-33.89257,151.2373,180,57.3,19,56,1.8,29.9,Eucalyptus grandis,
Monday AM,z5502976,Auburn,-33.89258,151.23717,180,57.3,20.5,60,1.72,35.5,Eucalyptus grandis,
Tuesday AM,z5480077,Toronto,-33.89259,151.23736,180,57.3,24.9,48,1.5,29.2,Eucalyptus grandis,
Tuesday AM,z5480579,Howlong,-33.89274,151.2366,177,56.3,16.6,65,1.6,35.6,Eucalyptus grandis,
Monday AM,z5517334,Leongatha,-33.89269,151.23693,176,56,19.7,56,1.7,30.9,Eucalyptus grandis,
Monday AM,z5388060,Bindoon,-33.89268,151.23681,175,55.7,11.2,75,1.7,43.5,Eucalyptus grandis,
Monday AM,z5429073,Koorda,-33.89255,151.23697,175,55.7,18.8,60,1.72,6,Eucalyptus grandis,
Monday AM,z5488581,Taroom,-33.89269,151.2366,175,55.7,16.3,62,1.6,30.7,Eucalyptus grandis,
Tuesday AM,z5470475,Gnowangerup,-33.8926,151.23673,175,55.7,12.5,68,1.6,32.5,Eucalyptus grandis,
Tuesday AM,z5476849,Toronto,-33.89259,151.23743,175,55.7,8,70,1.6,23.6,Eucalyptus grandis,
Tuesday AM,z5479673,Berrima,-33.89239,151.23721,175,55.7,18.7,63,1.75,38.5,Eucalyptus grandis,
Tuesday AM,z5487637,Toronto,-33.89264,151.23726,174,55.4,3,80,1.6,18.6,Eucalyptus grandis,
Monday AM,z5516934,Bindoon,-33.89266,151.23686,173,55.1,19.7,65,1.7,43.9,Eucalyptus grandis,
Monday PM,z5476515,Toronto,-33.89263,151.23736,173,55.1,6,66,1.74,15.2,Eucalyptus grandis,
Monday PM,z5541315,Bindoon,-33.89271,151.23689,173,55.1,11.7,75,1.5,45.2,Eucalyptus grandis,
Monday AM,z5476311,Taroom,-33.89269,151.2366,172,54.7,16.3,59,1.53,28.7,Eucalyptus grandis,
Monday PM,z5478300,Taroom,-33.89249,151.23664,172,54.7,30.9,50,2,38.8,Eucalyptus grandis,
Monday AM,z5476546,Collector,-33.8922,151.23881,171,54.4,10.8,56,1.6,17.6,Eucalyptus grandis,
Monday PM,z5359247,Toronto,-33.89261,151.23734,171,54.4,9.8,50,1.6,10.2,Eucalyptus grandis,
Tuesday AM,z5477135,Toronto,-33.89258,151.2373,171,54.4,9.2,61,1.6,18.1,Eucalyptus grandis,
Monday PM,z5495074,Toronto,-33.89262,151.23727,170,54.1,9.2,64,1.62,20.5,Eucalyptus grandis,
