Class,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Tree_height_m,Notes
Monday AM,Aberdeen,-33.89278,151.23654,295,93.9,32.0,
Not recorded,Aberdeen,-33.89283,151.23646,291.2,92.7,29.9,
Tuesday,Alexandria,-33.893,151.23664,14,4.5,5.7,
Monday PM,Alexandria,-33.89274,151.23739,16,5.1,3.5,
Tuesday,Alexandria,-33.89274,151.23735,19,6.0,3.4,
Not recorded,Alexandria,-33.89266,151.23734,14,4.5,3.1,
Monday AM,Alexandria,-33.89273,151.23776,15,4.8,3.1,
Monday PM,Alexandria,-33.89276,151.23732,16,5.1,2.8,
Monday PM,Austinmer,-33.89298,151.23658,53,16.9,18.9,
Monday AM,Austinmer,-33.89304,151.23665,52,16.6,15.7,
Monday PM,Babinda,-33.8926,151.23662,255,81.2,18.3,
Monday AM,Bangalow,-33.89272,151.23738,90,28.6,24.4,
Monday PM,Bangalow,-33.89274,151.2373,98,31.2,11.6,
Monday PM,Barden,-33.8926,151.23719,189,60.2,25.9,
Not recorded,Barellan,-33.89275,151.23696,102,32.5,27.3,
Monday AM,Barellan,-33.89263,151.23698,92,29.3,21.6,
Monday AM,Barellan,-33.89266,151.23696,95,30.2,12.7,
Tuesday,Bargo,-33.8927,151.23662,20,6.4,7.4,
Monday PM,Bargo,-33.89273,151.23671,20,6.4,6.7,
Tuesday,Bargo,-33.89275,151.23678,21,6.7,6.7,
Monday PM,Bargo,-33.89258,151.23675,25,8.0,5.3,
Monday AM,Batlow,-33.89294,151.23686,132,42.0,14.4,
Monday AM,Bellingen,-33.89263,151.23716,95,30.2,20.2,
Monday AM,Bellingen,-33.89254,151.237,89,28.3,16.8,
Not recorded,Benalla,-33.89268,151.23676,173,55.1,32.9,
Monday AM,Benalla,-33.89265,151.2369,176,56.0,26.3,
Monday AM,Benalla,-33.89273,151.23684,174,55.4,25.3,
Monday AM,Bermagui,-33.89239,151.2369,261,83.1,29.2,
Monday AM,Berrima,-33.89276,151.23684,44,14.0,18.1,
Not recorded,Berrima,-33.89276,151.23689,44.8,14.3,14.1,
Monday PM,Berrima,-33.89275,151.2369,46,14.6,12.4,
Not recorded,Berrima,-33.89281,151.23683,52,16.6,12.2,
Monday PM,Berrima,-33.89287,151.23673,46,14.6,12.0,
Tuesday,Berrima,-33.89289,151.23666,49,15.6,11.7,
Tuesday,Berrima,-33.89279,151.23685,49,15.6,11.3,
Monday AM,Berrima,-33.89269,151.23702,45,14.3,10.4,
Tuesday,Berrima,-33.89279,151.22367,44,14.0,9.4,
Monday PM,Berrima,-33.89287,151.23692,47,15.0,7.9,
Monday AM,Blackwater,-33.89258,151.23727,54,17.2,21.5,
Tuesday,Blackwater,-33.89267,151.23729,54,17.2,16.0,
Tuesday,Blackwater,-33.89258,151.23719,54,17.2,14.8,
Monday PM,Blackwater,-33.89266,151.23734,53.5,17.0,12.6,
