"Name","median_dbh_cm","median_height_m","median_latitude","median_longitude"
"Aberdeen",93.3,30.95,-33.892805,151.2365
"Alexandria",4.95,3.25,-33.89274,151.237345
"Austinmer",16.75,17.3,-33.89301,151.236615
"Bangalow",29.9,18,-33.89273,151.23734
"Barellan",30.2,21.6,-33.89266,151.23696
"Bargo",6.55,6.7,-33.892715,151.23673
"Bellingen",29.25,18.5,-33.892585,151.23708
"Benalla",55.4,26.3,-33.89268,151.23684
"Berrima",14.6,11.85,-33.89279,151.23685
"Blackwater",17.2,13.7,-33.89262,151.23728
"Bonalbo",73.55,27.85,-33.892695,151.236835
"Borden",61.1,30.2,-33.89256,151.23716
"Bothwell",16.75,9.95,-33.89254,151.23712
"Branxton",37.9,17.25,-33.892725,151.23712
"Broulee",9.5,9.7,-33.89295,151.23678
"Bulli",152.8,28.6,-33.89273,151.23631
"Bundanoon",114.15,28.05,-33.892785,151.2371
"Bundarra",15.9,12.65,-33.892555,151.237265
"Caiguna",46.2,26.2,-33.89271,151.23692
"Calliope",60.95,25.25,-33.89258,151.2373
"Camooweal",95.5,26.8,-33.89276,151.23654
"Carisbrook",23.75,16.4,-33.892505,151.236865
"Clare",53.5,23,-33.892545,151.237375
"Cobden",38,18.45,-33.89267,151.2369
"Copley",83.6,38.8,-33.89257,151.236815
"Culcairn",37.1,17.9,-33.892515,151.236985
"Daintree",23.05,13.8,-33.892595,151.236955
"Dalwallinu",56.5,24.9,-33.892515,151.237215
"Dandenong",30.05,21.9,-33.89274,151.23662
"Dumbleyung",12.7,10.25,-33.89274,151.23658
"Edithburgh",18.8,13.6,-33.8926,151.23737
"Eldorado",13.55,13.2,-33.892925,151.23699
"Eucla",6,4.6,-33.8927,151.236232
"Eulo",4.5,4.4,-33.89298,151.23676
"Genoa",107.3,28.2,-33.89253,151.23708
"Gerroa",88.8,33.75,-33.892635,151.23657
"Gisborne",37.7,21.15,-33.892995,151.237005
"Gnowangerup",25.5,11.5,-33.89298,151.23718
"Grantville",26.1,19.7,-33.89231,151.23683
"Greenough",37.2,27.9,-33.89272,151.23709
"Harcourt",69.1,32.4,-33.8925,151.23732
"Heywood",55.55,22.35,-33.89264,151.23734
"Holbrook",73.2,28.6,-33.892665,151.23758
"Ilfracombe",28.45,19.8,-33.892295,151.23686
"Karoonda",41.4,20.3,-33.8925,151.23706
"Karumba",106,27.1,-33.89267,151.23646
"Karumba ",106.6,32.7,-33.892695,151.23647
"Katanning",12.1,6,-33.89255,151.23716
"Katherine",125.4,36.85,-33.892405,151.23699
"Keith",145.75,25.9,-33.892405,151.23704
"Kiama",115.2,29.1,-33.89249,151.23665
"Kinglake",13.1,9.5,-33.89294,151.236749
"Laverton",21.6,16.5,-33.89261,151.23716
"Malmsbury",49.5,23.2,-33.89252,151.23719
"Maree",17.5,14.55,-33.893015,151.236965
"Metung",51.6,22.7,-33.8927,151.23669
"Mollymook",57.5,27.75,-33.892135,151.23703
"Morisset",77.3,29.5,-33.89273,151.23693
"Mornington",36.3,28.7,-33.89271,151.23664
"Mudgee",43.3,24.45,-33.892515,151.237425
"Narrandera",111.1,25.2,-33.8928,151.23687
"Nelson",83.1,25.45,-33.892855,151.2364105
"Noojee",29.6,25.35,-33.89219,151.237
"Nuriootpa",28.3,13.4,-33.89267,151.23684
"Orford",30.05,16.25,-33.89233,151.236795
"Perth",46,23.8,-33.89259,151.23695
"Queenscliff",53.65,18.4,-33.89258,151.236645
"Railton",62.25,27.45,-33.892705,151.237
"Rainbow",19.1,18.6,-33.8928,151.23692
"Renmark",30.2,20.55,-33.892675,151.23676
"Robe",14.6,14.8,-33.89273,151.23697
"Rockley",21.8,15.75,-33.89265,151.23697
"Roebourne",55.7,27,-33.89255,151.2366
"Rokeby",63.7,30.7,-33.89263,151.23672
"Rosebud",13.2,11.65,-33.89293,151.23693
"Seaspray",33.4,20.3,-33.89291,151.23725
"Snowtown",118.25,29.45,-33.89266,151.236282
"Taroom",31.8,16.8,-33.89259,151.23697
"Tarraleah",17.8,11.9,-33.892615,151.237245
"Toronto",64.5,26.55,-33.892625,151.237055
"Walpole",16.05,12.45,-33.89278,151.237315
"Waroona",82.8,30.8,-33.89247,151.23727
"Warrnambool",14.3,10.7,-33.89253,151.23723
"Wickham",15.6,14,-33.89259,151.23727
"Wollombi",17.5,12.2,-33.892895,151.236515
"Wollongong",36,22.7,-33.89298,151.23663
"Yankalilla",70.35,27.65,-33.89265,151.23682
"Yass",15.75,10.6,-33.892565,151.23736
"York",65.55,25.6,-33.89258,151.236815
