site,number,quadrat,drone_mean_height_cm,dry_biomass_g
WAR1,1,WAR1_01,9.7,296
WAR1,2,WAR1_02,10.4,182.3
WAR1,3,WAR1_03,9.7,296.6
WAR1,6,WAR1_06,16.4,415.1
WAR1,7,WAR1_07,5.9,43
WAR1,8,WAR1_08,30,375.6
WAR1,9,WAR1_09,5.2,97.1
WAR2,16,WAR2_16,4,25.5
WAR3,1,WAR3_01,5.2,62
WAR3,2,WAR3_02,5,139.9
WAR3,7,WAR3_07,4.9,68.5
WAR3,8,WAR3_08,5.8,22.3
WAR3,9,WAR3_09,5,23.4
WAR3,10,WAR3_10,4.1,92
WAR4,13,WAR4_13,5.2,73.5
WAR4,14,WAR4_14,5.5,102.2
WAR4,16,WAR4_16,5.7,259
WAR4,18,WAR4_18,5.1,82.8
WAR4,19,WAR4_19,5,123.3
WAR4,20,WAR4_20,6.5,138
